locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
O4,CHRFDSH,92,13,0.383333333333333,0.194029850746269,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v1,CHRFDSH,36,11,0.15,0.164179104477612,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,CHRFDSH,15,10,0.0625,0.149253731343284,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v1,BAPP,18,10,0.782608695652174,0.714285714285714,23,14,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
OL13,CHRFDSH,38,9,0.158333333333333,0.134328358208955,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,AKU_Karachi,9,8,0.290322580645161,0.296296296296296,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
O3b,CHRFDSH,10,7,0.0416666666666667,0.104477611940299,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,BGHOSPITAL 1,7,6,0.21875,0.5,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O2a.v1,CHRFDSH,6,6,0.025,0.0895522388059701,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O2afg.v2,CHRFDSH,34,6,0.141666666666667,0.0895522388059701,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v1,BANN,10,5,0.476190476190476,0.416666666666667,21,12,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O4,JIPMER,19,5,0.558823529411765,0.294117647058824,34,17,2019,2020,42,24,India,NeoOBS,Southern Asia
O1.v1,AKU_Karachi,5,5,0.161290322580645,0.185185185185185,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
O5,BGHOSPITAL 4,8,4,0.615384615384615,0.666666666666667,13,6,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
O1.v2,JIPMER,4,4,0.117647058823529,0.235294117647059,34,17,2019,2020,42,24,India,NeoOBS,Southern Asia
O1.v2,KEM-MUMBAI,4,4,0.210526315789474,0.266666666666667,19,15,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v1,KEM-MUMBAI,5,4,0.263157894736842,0.266666666666667,19,15,2019,2020,22,18,India,NeoOBS,Southern Asia
O4,AKU_Karachi,5,4,0.161290322580645,0.148148148148148,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
O2afg.v2,BGHOSPITAL 1,6,3,0.1875,0.25,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O5,CHRFDSH,3,3,0.0125,0.0447761194029851,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O4,CHRFCMOSH,3,3,0.25,0.375,12,8,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O1.v2,BANN,4,3,0.19047619047619,0.25,21,12,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O2a.v1,BANN,6,3,0.285714285714286,0.25,21,12,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O1.v1,JIPMER,5,3,0.147058823529412,0.176470588235294,34,17,2019,2020,42,24,India,NeoOBS,Southern Asia
O2a.v1,KEM-MUMBAI,5,3,0.263157894736842,0.2,19,15,2019,2020,22,18,India,NeoOBS,Southern Asia
O5,AKU_Karachi,3,3,0.0967741935483871,0.111111111111111,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
O2a.v1,AKU_Quetta,3,3,0.3,0.333333333333333,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O1.v2,AIDH2,6,3,0.260869565217391,0.375,23,8,2019,2022,34,12,India,AIIMS,Southern Asia
O1.v2,BGHOSPITAL 4,5,2,0.384615384615385,0.333333333333333,13,6,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
O2a.v1,CHRFCMOSH,4,2,0.333333333333333,0.25,12,8,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O3/O3a,CHRFDSH,6,2,0.025,0.0298507462686567,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,BAPP,3,2,0.130434782608696,0.142857142857143,23,14,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O2a.v1,JIPMER,3,2,0.0882352941176471,0.117647058823529,34,17,2019,2020,42,24,India,NeoOBS,Southern Asia
O3/O3a,JIPMER,2,2,0.0588235294117647,0.117647058823529,34,17,2019,2020,42,24,India,NeoOBS,Southern Asia
O5,KEM-MUMBAI,3,2,0.157894736842105,0.133333333333333,19,15,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v2,AKU_Quetta,2,2,0.2,0.222222222222222,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
OL13,AKU_Hyderabaad,8,2,0.666666666666667,0.333333333333333,12,6,2023,2023,13,7,Pakistan,AKU,Southern Asia
