Genome Name	Study	Region	Country	Cluster	neonatal	Year	N50	contig_count	total_size	resistance_score	K_locus	K_type	K_locus_confidence	O_locus	O_type	O_locus_confidence	species	ST	Mortality	O_genotype	Site	O_locus_variant	Cluster7	Cluster14	Cluster56	Cluster365	Cluster1SNP	Cluster2SNP	Cluster3SNP	Cluster5SNP	Cluster10SNP	Cluster15SNP	Cluster20SNP	Cluster25SNP	Cluster50SNP	BioSample
BG113	BabyGERMS	Southern Africa	South Africa	BG1	neonate	2019	427899	55	5591870	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	0	O5	27	O5	BG1	BG1	BG1	BG1	BG1	BG1	BG1	BG1	BG1	BG1	BG1	BG1	BG1	SAMN24865942
BG265	BabyGERMS	Southern Africa	South Africa	BG1	neonate	2019	370004	46	5491837	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	0	O5	27	O5	BG42	BG1	BG1	BG1	BG43	BG1	BG1	BG1	BG1	BG1	BG1	BG1	BG1	SAMN24865940
BG1133	BabyGERMS	Southern Africa	South Africa	BG2	neonate	2020	174653	136	5498636	0	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST36	0	O2β	32	O2afg (O1/O2v2)	BG2	BG2	BG2	BG2	BG2	BG2	BG2	BG2	BG2	BG2	BG2	BG2	BG2	SAMN24865751
BG1138	BabyGERMS	Southern Africa	South Africa	BG3	neonate	2020	244540	122	5845718	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	1	O2β	31	O2afg (O1/O2v2)	BG3	BG3	BG3	BG3	BG3	BG3	BG3	BG3	BG3	BG3	BG3	BG3	BG3	SAMN24865752
BG1318	BabyGERMS	Southern Africa	South Africa	BG3	neonate	2020	214866	121	5846821	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	31	O2afg (O1/O2v2)	BG12	BG4	BG3	BG3	BG15	BG12	BG4	BG4	BG3	BG3	BG3	BG3	BG3	SAMN24865765
BG1141	BabyGERMS	Southern Africa	South Africa	BG3	neonate	2020	244540	115	5846898	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	1	O2β	31	O2afg (O1/O2v2)	BG4	BG4	BG3	BG3	BG4	BG4	BG4	BG4	BG3	BG3	BG3	BG3	BG3	SAMN24865753
BG1153	BabyGERMS	Southern Africa	South Africa	BG3	neonate	2020	214810	112	5841110	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	31	O2afg (O1/O2v2)	BG6	BG4	BG3	BG3	BG6	BG6	BG6	BG4	BG3	BG3	BG3	BG3	BG3	SAMN24865755
BG1314	BabyGERMS	Southern Africa	South Africa	BG3	neonate	2020	244540	112	5843125	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	1	O2β	31	O2afg (O1/O2v2)	BG12	BG4	BG3	BG3	BG12	BG12	BG4	BG4	BG3	BG3	BG3	BG3	BG3	SAMN24865762
BG1142	BabyGERMS	Southern Africa	South Africa	BG4	neonate	2020	214889	166	5593625	1	KL25	K25	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST607	NA	O1⍺β,2⍺	31	O1 (O1/O2v1)	BG5	BG5	BG4	BG4	BG5	BG5	BG5	BG5	BG4	BG4	BG4	BG4	BG4	SAMN24865754
BG1165	BabyGERMS	Southern Africa	South Africa	BG5	neonate	2020	200560	97	5548175	1	KL9	K9	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST22	0	O2β	29	O2afg (O1/O2v2)	BG7	BG6	BG5	BG5	BG7	BG7	BG7	BG6	BG5	BG5	BG5	BG5	BG5	SAMN24865756
BG1173	BabyGERMS	Southern Africa	South Africa	BG6	neonate	2020	135412	174	5676581	1	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST377	NA	O2β	31	O2afg (O1/O2v2)	BG8	BG7	BG6	BG6	BG8	BG8	BG8	BG7	BG6	BG6	BG6	BG6	BG6	SAMN24865758
BG127	BabyGERMS	Southern Africa	South Africa	BG7	neonate	2019	144971	158	5675271	1	KL62	K62	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST348	0	O1⍺β,2⍺	30	O1 (O1/O2v1)	BG9	BG8	BG7	BG7	BG9	BG9	BG9	BG8	BG7	BG7	BG7	BG7	BG7	SAMN24865759
BG243	BabyGERMS	Southern Africa	South Africa	BG7	neonate	2019	305708	63	5696064	1	KL62	K62	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST348	NA	O1⍺β,2⍺	30	O1 (O1/O2v1)	BG9	BG8	BG7	BG7	BG9	BG9	BG9	BG8	BG7	BG7	BG7	BG7	BG7	SAMN24865796
BG1305	BabyGERMS	Southern Africa	South Africa	BG8	neonate	2020	169802	133	5754626	2	KL2	K2	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST25	1	O1⍺β,2β	27	O1 (O1/O2v2)	BG10	BG9	BG8	BG8	BG10	BG10	BG10	BG9	BG8	BG8	BG8	BG8	BG8	SAMN24865760
BG1308	BabyGERMS	Southern Africa	South Africa	BG9	neonate	2020	189131	183	5577765	2	KL62	K62	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST39	1	O1⍺β,2β	27	O1 (O1/O2v2)	BG11	BG10	BG9	BG9	BG11	BG11	BG11	BG10	BG9	BG9	BG9	BG9	BG9	SAMN24865761
BG1315	BabyGERMS	Southern Africa	South Africa	BG10	neonate	2020	224357	100	5515844	1	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	32	O2afg (O1/O2v2)	BG13	BG11	BG10	BG10	BG13	BG13	BG12	BG11	BG10	BG10	BG10	BG10	BG10	SAMN24865763
BG1317	BabyGERMS	Southern Africa	South Africa	BG11	neonate	2020	237542	99	5422916	1	KL39	K39	Typeable	O3b	O3b	Typeable	Klebsiella pneumoniae	ST4872	NA	O3𝛾	31	O3b	BG14	BG12	BG11	BG11	BG14	BG14	BG13	BG12	BG11	BG11	BG11	BG11	BG11	SAMN24865764
BG1320	BabyGERMS	Southern Africa	South Africa	BG12	neonate	2020	297472	64	5456249	1	KL136	unknown (KL136)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST1207	0	O2β	31	O2afg (O1/O2v2)	BG15	BG13	BG12	BG12	BG16	BG15	BG14	BG13	BG12	BG12	BG12	BG12	BG12	SAMN24865766
BG150	BabyGERMS	Southern Africa	South Africa	BG13	neonate	2019	196828	99	5361006	0	KL7	K7	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST950	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG16	BG14	BG13	BG13	BG17	BG16	BG15	BG14	BG13	BG13	BG13	BG13	BG13	SAMN24865768
BG31	BabyGERMS	Southern Africa	South Africa	BG13	neonate	2019	196828	91	5347131	0	KL7	K7	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST950	NA	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG16	BG14	BG13	BG13	BG17	BG16	BG15	BG14	BG13	BG13	BG13	BG13	BG13	SAMN24865811
BG88	BabyGERMS	Southern Africa	South Africa	BG13	neonate	2019	196828	84	5353613	0	KL7	K7	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST950	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG16	BG14	BG13	BG13	BG17	BG16	BG15	BG14	BG13	BG13	BG13	BG13	BG13	SAMN24865916
BG1517	BabyGERMS	Southern Africa	South Africa	BG14	neonate	2020	56825	174	5382344	0	KL10	K10	Typeable	O3/O3a	O3/O3a	Typeable	Klebsiella pneumoniae	ST76	1	O3⍺/O3β	30	O3/O3a	BG17	BG15	BG14	BG14	BG18	BG17	BG16	BG15	BG14	BG14	BG14	BG14	BG14	TBC
BG1519	BabyGERMS	Southern Africa	South Africa	BG14	neonate	2020	56825	174	5382344	0	KL10	K10	Typeable	O3/O3a	O3/O3a	Typeable	Klebsiella pneumoniae	ST76	0	O3⍺/O3β	30	O3/O3a	BG18	BG16	BG14	BG14	BG18	BG17	BG16	BG15	BG14	BG14	BG14	BG14	BG14	SAMN24865769
BG1524	BabyGERMS	Southern Africa	South Africa	BG15	neonate	2020	132231	128	5519194	1	KL54	K54	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST170	0	O1⍺β,2β	31	O1 (O1/O2v2)	BG19	BG17	BG15	BG15	BG19	BG18	BG17	BG16	BG15	BG15	BG15	BG15	BG15	SAMN24865770
