Data	Counts	N	5 KL	10 KL	15 KL	20 KL
Global	raw	1930	48.8 (46.0-51.7)	58.7 (55.6-61.9)	66.8 (63.4-70.2)	72.9 (69.4-76.5)
Global	adj	805	36.3 (32.4-40.3)	49.8 (45.3-54.6)	59.9 (54.9-65.1)	64.8 (59.6-70.2)
  Fatal infections	raw	394	49.2 (43.1-55.7)	58.8 (51.8-66.1)	67.8 (60.3-75.6)	70.6 (62.8-78.5)
  Fatal infections	adj	214	40.1 (31.5-49.7)	50.3 (40.5-61.2)	61.1 (50.1-73.2)	65.0 (53.5-77.2)
  ESBL infections	raw	1747	50.8 (47.8-53.9)	60.8 (57.5-64.2)	69.4 (65.8-73.0)	74.9 (71.2-78.8)
  ESBL infections	adj	683	38.2 (33.9-42.7)	52.3 (47.3-57.6)	63.5 (57.8-69.5)	68.3 (62.5-74.5)
  CP infections	raw	525	40.9 (35.8-46.2)	51.3 (45.5-57.4)	65.8 (59.2-72.6)	81.5 (74.1-89.1)
  CP infections	adj	228	24.0 (18.0-30.7)	41.5 (33.6-50.3)	59.5 (49.7-70.0)	71.0 (60.4-82.4)
Eastern Africa	raw	1119	55.9 (52.0-60.0)	65.8 (61.5-70.3)	69.9 (65.5-74.6)	71.5 (67.0-76.3)
Eastern Africa	adj	367	42.1 (36.2-48.6)	55.5 (48.5-62.9)	61.6 (54.3-69.4)	63.9 (56.4-71.9)
  Fatal infections	raw	237	56.4 (48.7-64.6)	64.5 (55.9-73.6)	68.4 (59.5-77.7)	68.8 (59.8-78.3)
  Fatal infections	adj	100	45.5 (32.9-59.8)	54.4 (40.5-69.9)	62.7 (47.8-79.5)	64.3 (49.3-81.5)
  ESBL infections	raw	1019	57.1 (52.9-61.3)	67.3 (62.7-72.0)	71.6 (66.8-76.4)	73.3 (68.5-78.2)
  ESBL infections	adj	306	45.0 (38.2-52.2)	59.2 (51.2-67.7)	65.7 (57.4-74.6)	68.1 (59.6-77.1)
  CP infections	raw	10	NA	NA	NA	NA
  CP infections	adj	5	NA	NA	NA	NA
Southern Africa	raw	244	43.9 (36.5-51.9)	50.5 (42.4-59.0)	72.0 (62.7-82.1)	82.2 (72.1-92.8)
Southern Africa	adj	151	48.7 (39.1-59.4)	58.1 (47.6-69.5)	71.3 (59.5-84.2)	76.6 (64.4-90.0)
  Fatal infections	raw	65	51.3 (31.9-74.1)	52.9 (33.1-75.9)	87.6 (62.9-100.0)	88.2 (63.4-100.0)
  Fatal infections	adj	46	55.8 (31.4-85.8)	60.2 (34.8-90.7)	75.1 (46.0-100.0)	76.9 (47.4-100.0)
  ESBL infections	raw	191	51.9 (42.6-61.8)	54.6 (45.0-64.7)	82.1 (70.3-94.2)	85.1 (73.2-97.3)
  ESBL infections	adj	117	57.3 (44.7-71.0)	62.1 (48.9-76.7)	78.0 (62.9-94.1)	81.1 (65.6-97.7)
  CP infections	raw	66	47.8 (30.9-67.4)	48.0 (31.1-67.6)	96.7 (74.3-100.0)	97.1 (74.5-100.0)
  CP infections	adj	33	68.8 (38.4-100.0)	69.4 (38.8-100.0)	91.1 (55.7-100.0)	92.1 (56.5-100.0)
Western Africa	raw	76	28.4 (18.5-40.3)	38.2 (26.6-51.7)	43.4 (30.8-58.0)	69.8 (53.3-88.2)
Western Africa	adj	55	29.8 (18.4-44.1)	37.8 (24.7-53.5)	45.2 (30.6-62.8)	62.8 (45.6-83.1)
  Fatal infections	raw	36	19.6 (7.9-36.5)	40.4 (22.3-62.6)	50.4 (29.5-75.2)	74.1 (48.3-100.0)
  Fatal infections	adj	28	27.8 (12.0-48.5)	38.5 (19.3-62.8)	51.2 (28.6-79.4)	65.9 (39.6-98.0)
  ESBL infections	raw	62	32.8 (20.2-47.9)	44.8 (29.5-62.6)	50.7 (34.4-69.6)	82.2 (61.4-100.0)
  ESBL infections	adj	43	34.9 (19.7-54.0)	43.5 (26.6-64.6)	52.1 (33.4-74.9)	72.3 (49.6-99.5)
  CP infections	raw	30	5.4 (0.2-18.0)	5.7 (0.3-18.7)	6.4 (0.4-20.0)	94.0 (62.9-100.0)
  CP infections	adj	17	9.4 (0.4-30.5)	10.3 (0.6-32.2)	11.5 (0.8-34.5)	89.0 (49.3-100.0)
Southern Asia	raw	491	38.3 (33.5-43.6)	49.9 (44.3-55.8)	60.6 (54.3-67.3)	71.9 (65.1-79.1)
Southern Asia	adj	232	20.8 (15.7-26.5)	38.5 (31.5-46.3)	53.3 (45.0-62.5)	59.3 (50.5-68.9)
  Fatal infections	raw	56	35.8 (22.5-51.1)	50.7 (34.7-69.4)	61.9 (43.7-82.9)	63.0 (44.6-84.1)
  Fatal infections	adj	40	25.7 (12.5-43.1)	42.6 (24.8-64.3)	55.3 (34.9-80.0)	57.8 (36.6-83.5)
  ESBL infections	raw	475	39.0 (34.1-44.1)	51.0 (45.2-56.9)	62.2 (55.9-68.9)	73.9 (66.9-81.3)
  ESBL infections	adj	217	20.7 (15.3-26.7)	39.8 (32.4-47.9)	55.9 (46.9-65.8)	62.3 (52.6-72.6)
  CP infections	raw	419	41.9 (36.4-47.7)	54.0 (47.6-60.8)	65.4 (58.2-72.9)	79.1 (71.2-87.4)
  CP infections	adj	173	20.3 (14.3-27.3)	40.8 (32.1-50.4)	59.6 (48.9-71.1)	67.5 (56.0-79.9)
